city,salmon,oyster,shrimp,cod,lobster,lat,lon
Anchorage,68,3,15,9,5,61.218056, -149.900284
Vancouver,66,4,13,7,10,49.282730, -123.120735
Lake Forest Park,51,10,18,10,11,33.667461, -117.688499
Boston,14,15,11,38,22,42.360081, -71.058884
Seattle,49,13,18,11,9,47.60621, -122.33207
New Orleans,13,35,39,5,8,29.95465, -90.07507
Portland,51,7,18,10,14,45.52345, -122.67621
Jacksonville,18,6,49,9,18,30.33218, -81.65565
Honolulu,23,5,41,11,20,21.30694, -157.85833
Boise,47,3,21,15,14,43.6135, -116.20345
Tacoma,38,6,21,12,23,47.25288, -122.44429
Coalville,46,5,22,11,16,40.91773, -111.39936
Virginia Beach,20,19,32,11,18,36.85293, -75.97799
Altamonte Springs,16,12,35,9,28,28.66111, -81.36562
Yonkers,18,13,18,24,27,40.93121, -73.89875
Arlington,34,14,25,14,13,38.88101, -77.10428
Atlanta,25,10,34,10,21,33.749, -84.38798
Baltimore,26,17,31,10,16,39.29038, -76.61219
Raleigh,21,17,32,11,19,35.7721, -78.63861
Oakland,35,11,28,11,15,37.80437, -122.2708
Charlotte,26,8,34,11,21,35.22709, -80.84313
Washington,30,18,24,12,16,38.89511, -77.03637
Detroit,24,4,27,11,34,42.33143, -83.04575
Tampa,19,10,31,11,29,27.94752, -82.45843
Greensboro,25,11,34,11,19,36.07264, -79.79198
Houston,23,9,38,12,18,29.76328, -95.36327
Philadelphia,28,9,29,12,22,39.95233, -75.16379
Denver,34,8,26,13,19,39.73915, -104.9847
Long Beach,29,5,33,13,20,33.76696, -118.18923
Hyattsville,25,14,28,12,21,38.95594, -76.94553
Sacramento,33,6,29,13,19,38.58157, -121.4944
Hialeah,20,8,28,11,33,25.8576, -80.27811
San Francisco,33,19,21,13,14,37.77493, -122.41942
San Jose,32,10,26,13,19,37.33939, -121.89496
Plano,22,9,35,13,21,33.01984, -96.69889
Memphis,22,10,30,10,28,35.14953, -90.04898
New York,24,12,23,14,27,40.71427, -74.00597
Chicago,26,8,30,14,22,41.85003, -87.65005
Minneapolis,33,7,28,14,18,44.97997, -93.26384
Colorado Springs,29,5,25,17,24,38.83388, -104.82136
Las Vegas,23,10,29,14,24,36.17497, -115.13722
Cleveland,25,6,25,13,31,41.4995, -81.69541
San Diego,29,7,27,13,24,32.71571, -117.16472
Chapmansboro,23,9,31,12,25,36.31228, -87.14139
Fort Worth,25,6,34,15,20,32.72541, -97.32085
Larkspur,27,24,21,13,15,54.43872, -113.76848
Indianapolis,24,5,31,13,27,39.76838, -86.15804
Pittsburgh,27,10,25,14,24,40.44062, -79.99589
Kansas City,26,7,30,14,23,39.09973, -94.57857
San Antonio,21,11,32,14,22,29.42412, -98.49363
Columbus,25,5,26,15,29,39.96118, -82.99879
Austin,29,11,29,13,18,30.26715, -97.74306
Los Angeles,29,8,30,13,20,34.05223, -118.24368
Newark,23,6,28,16,27,40.73566, -74.17237
Dallas,28,7,32,13,20,32.78306, -96.80667
Irvine,33,7,27,17,16,33.66946, -117.82311
Omaha,26,5,30,14,25,41.25626, -95.94043
Mesa,25,4,30,14,27,33.42227, -111.82264
St. Louis,23,15,26,11,25,38.62727, -90.19789
Nashville,28,9,30,13,20,36.16589, -86.78444
Saint Paul,29,6,28,15,22,44.94441, -93.09327
Fresno,26,5,32,15,22,36.74773, -119.77237
Golden Valley,24,6,29,15,26,45.00969, -93.34912
Phoenix,26,5,30,14,25,33.44838, -112.07404
Tucson,27,5,28,16,24,32.22174, -110.92648
Aurora,28,6,28,14,24,39.72943, -104.83192
Milwaukee,26,6,27,15,26,43.0389, -87.90647
Louisville,25,7,28,16,24,38.25424, -85.75941
Albuquerque,28,5,28,14,25,35.08449, -106.65114
Oklahoma City,26,6,26,17,25,35.46756, -97.51643
Miami,26,13,24,12,25,25.77427, -80.19366
